着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,単勝,人気,馬体重,調教師,race_id,horse_id,jockey_id,trainer_id,owner_id
7,4,4,エスタンピージャ,牝4,57.0,蓑島靖典,3:15.4,3.1/2,114.3,8.0,470(+2),[東] 加藤和宏,202210010705,2018103491,01068,01077,854800
8,7,7,ミエノハヤブサ,セ4,59.0,石神深一,3:21.7,大,32.0,6.0,486(+12),[東] 田中博康,202210010705,2018103734,01059,01162,414030
1,3,3,リカンカブール,牡3,56.0,藤岡康太,2:02.0,,7.5,4.0,480(+8),[西] 田中克典,202210010706,2019103823,01116,01180,877800
2,3,4,プリマヴィータ,牝3,54.0,西村淳也,2:02.1,1/2,39.5,8.0,426(-2),[西] 森田直行,202210010706,2019100831,01171,01142,110030
3,7,12,シャンバラ,牡3,56.0,鮫島克駿,2:02.2,クビ,3.4,2.0,496(+4),[西] 橋口慎介,202210010706,2019100615,01157,01154,788800
4,2,2,ウロボン,牡3,56.0,岩田康誠,2:02.2,クビ,8.6,5.0,460(+2),[東] 武井亮,202210010706,2019104352,05203,01147,149002
5,7,11,リュミエールノワル,牡3,56.0,横山和生,2:02.3,1/2,29.5,7.0,470(-2),[西] 松永幹夫,202210010706,2019104586,01140,01092,808800
6,5,8,サトノアヴァロン,牡3,56.0,浜中俊,2:02.4,3/4,3.3,1.0,452(-4),[西] 須貝尚介,202210010706,2019105200,01115,01105,075803
7,6,10,マルカフロンターレ,牡3,54.0,小沢大仁,2:02.6,1.1/4,73.0,10.0,492(+4),[西] 浜田多実,202210010706,2019106927,01185,01138,927033
8,8,14,クロニクルノヴァ,牡3,56.0,吉田隼人,2:02.8,1.1/4,4.8,3.0,474(-6),[西] 武幸四郎,202210010706,2019105084,01095,01160,026803
9,5,7,リネンスイング,牡3,56.0,勝浦正樹,2:03.1,1.3/4,53.0,9.0,454(+2),[東] 粕谷昌央,202210010706,2019100954,01025,01096,851005
10,6,9,クリノビビ,牝3,54.0,森裕太朗,2:03.2,1/2,107.5,12.0,444(-2),[西] 谷潔,202210010706,2019102364,01165,00431,970006
11,8,13,エコロデュエル,牡3,56.0,富田暁,2:03.4,1.1/4,80.7,11.0,472(+4),[東] 斎藤誠,202210010706,2019101614,01168,01086,783033
12,4,6,ヴァンデスト,牝3,54.0,丹内祐次,2:03.4,1/2,11.1,6.0,398(+2),[東] 松山将樹,202210010706,2019100740,01091,01100,546800
13,1,1,マオノソプデト,牝3,53.0,秋山稔樹,2:04.8,8,242.5,14.0,462(0),[東] 黒岩陽一,202210010706,2019104254,01181,01133,793033
14,4,5,ニシノアリオト,牝3,52.0,藤田菜七,2:07.4,大,153.2,13.0,432(-6),[東] 村田一誠,202210010706,2019106265,01164,01190,897009
1,1,1,メイショウハナモモ,牝4,52.0,小沢大仁,1:48.3,,5.1,3.0,460(0),[西] 松永昌博,202210010707,2018106508,01185,01083,523005
2,4,4,クーファイザナミ,牝5,55.0,吉田隼人,1:48.5,1.1/2,15.6,7.0,424(+8),[西] 武幸四郎,202210010707,2017102078,01095,01160,052803
3,8,12,アオイシチフク,牝4,51.0,松本大輝,1:48.6,3/4,5.5,4.0,488(+6),[東] 中舘英二,202210010707,2018102987,01191,01153,137030
4,2,2,ジョイフルダンサー,牝4,53.0,亀田温心,1:48.7,クビ,3.9,1.0,436(0),[西] 北出成人,202210010707,2018101994,01176,01078,858800
5,5,5,シェーン,牝5,52.0,角田大和,1:48.9,1.1/2,4.6,2.0,484(+8),[西] 角田晃一,202210010707,2017101790,01186,01121,788800
6,6,7,チアフルローズ,牝6,55.0,丹内祐次,1:49.1,1,35.5,8.0,484(+4),[東] 水野貴広,202210010707,2016102733,01091,01094,013803
7,8,11,レッドウッドヒル,牝4,54.0,富田暁,1:49.2,1/2,51.0,9.0,470(-8),[東] 武井亮,202210010707,2018109105,01168,01147,051800
8,3,3,クリノラピッド,牝4,51.0,原優介,1:49.7,3.1/2,51.4,10.0,454(0),[東] 伊藤伸一,202210010707,2018106397,01184,01031,970006
9,5,6,アンジュマリッシュ,牝4,54.0,鮫島克駿,1:49.8,クビ,87.4,11.0,440(-2),[西] 上村洋行,202210010707,2018105001,01157,01168,226800
10,7,10,アポロリリー,牝5,52.0,小林凌大,1:49.8,クビ,10.3,6.0,426(+2),[東] 鈴木伸尋,202210010707,2017100034,01177,01026,033700
11,7,9,ホウオウラフィット,牝4,52.0,藤田菜七,1:50.1,1.3/4,6.1,5.0,418(+6),[東] 池上昌和,202210010707,2018105241,01164,01150,906033
12,6,8,サツキワルツ,牝7,54.0,秋山稔樹,1:50.3,1.1/2,195.7,12.0,462(+2),[東] 蛯名利弘,202210010707,2015101835,01181,01131,212008
1,2,2,ショウサンイチマツ,牡4,53.0,松本大輝,2:41.3,,5.9,3.0,452(+2),[西] 松下武士,202210010708,2018101127,01191,01149,305030
2,7,7,マベルロンジュ,牝5,55.0,川又賢治,2:42.0,4,4.1,2.0,462(0),[東] 水野貴広,202210010708,2017100389,01166,01094,252030
3,5,5,ナムアミダブツ,牡5,57.0,藤岡康太,2:42.2,1.1/4,6.4,4.0,472(+6),[西] 石坂公一,202210010708,2017104681,01116,01166,032803
4,4,4,マイネルジャッカル,牡4,53.0,小林凌大,2:42.4,1.1/4,15.2,6.0,474(+8),[東] 高橋祥泰,202210010708,2018106739,01177,00359,546800
5,8,8,タイミングハート,牡5,57.0,浜中俊,2:42.7,1.3/4,2.0,1.0,448(-4),[西] 武幸四郎,202210010708,2017105616,01115,01160,002803
6,6,6,コンフィアンス,牝4,54.0,丹内祐次,2:42.7,アタマ,31.5,7.0,444(0),[東] 戸田博文,202210010708,2018103066,01091,01054,065803
7,1,1,シエラネバダ,セ7,57.0,松若風馬,2:43.2,3,13.2,5.0,506(-2),[西] 音無秀孝,202210010708,2015105026,01154,01002,708800
8,3,3,ランドリュウオー,牡6,54.0,角田大和,2:45.7,大,162.2,8.0,460(+26),[西] 安達昭夫,202210010708,2016103459,01186,01042,862009
9,8,9,イチザスカーレット,牝4,54.0,和田翼,2:48.1,大,222.5,9.0,442(+10),[西] 服部利之,202210010708,2018101285,01146,01040,610006
1,7,13,ゼットレヨン,牡3,56.0,酒井学,1:09.1,,14.9,6.0,474(+2),[西] 吉田直弘,202210010709,2019103065,01034,01101,730800
2,6,11,エクロール,牝3,54.0,鮫島克駿,1:09.1,ハナ,7.3,3.0,422(+2),[西] 長谷川浩,202210010709,2019100643,01157,01173,788800
3,8,17,ホワイトターフ,牝3,54.0,斎藤新,1:09.6,3,19.6,7.0,436(0),[西] 新谷功一,202210010709,2019105794,01178,01172,854800
4,3,6,ブランデーロック,牡3,56.0,原優介,1:09.7,3/4,44.3,12.0,458(+2),[東] 小桧山悟,202210010709,2019107075,01184,01005,076031
5,1,2,ラキエータ,牝3,54.0,西村淳也,1:09.7,クビ,9.0,4.0,412(+8),[西] 音無秀孝,202210010709,2019104525,01171,01002,506800
6,6,12,サンディブリッジ,牝3,54.0,横山和生,1:09.7,アタマ,96.8,15.0,430(-10),[西] 安田翔伍,202210010709,2019101886,01140,01164,003060
7,8,16,ドグマ,牡3,56.0,吉田隼人,1:09.7,ハナ,2.5,1.0,486(+12),[西] 武幸四郎,202210010709,2019102522,01095,01160,553800
8,5,9,シーズザデイ,牡3,56.0,菱田裕二,1:09.8,クビ,26.5,9.0,498(+2),[西] 川村禎彦,202210010709,2019101797,01144,01003,374008
9,1,1,ポメランチェ,牝3,54.0,藤岡康太,1:09.8,アタマ,22.6,8.0,398(-4),[西] 牧田和弥,202210010709,2019104693,01116,01123,415800
10,8,18,トーセンサンダー,牡3,56.0,丹内祐次,1:09.8,クビ,4.9,2.0,476(+2),[東] 杉浦宏昭,202210010709,2019104386,01091,01008,270006
11,5,10,ヒルノショパン,牡3,56.0,古川吉洋,1:10.0,1,34.5,11.0,454(+4),[西] 昆貢,202210010709,2019103858,01015,01044,823800
12,2,3,タムロキュラムン,牝3,54.0,松若風馬,1:10.1,3/4,14.4,5.0,452(0),[西] 西園正都,202210010709,2019101743,01154,01028,586006
13,7,15,フォースチルドレン,牡3,56.0,藤田菜七,1:10.3,1.1/4,192.5,18.0,478(-8),[東] 青木孝文,202210010709,2019106142,01164,01156,149002
14,4,8,イチローイチロー,牡3,56.0,亀田温心,1:10.5,1,92.0,13.0,424(-2),[西] 北出成人,202210010709,2019100986,01176,01078,897030
15,2,4,エイシントゥラン,牝3,54.0,浜中俊,1:10.5,アタマ,181.5,17.0,450(-1),[地] 盛本信春,202210010709,2019103469,01115,05702,318033
16,4,7,オカンモシャチョウ,牝3,54.0,松本大輝,1:10.6,1,95.4,14.0,448(-2),[西] 森秀行,202210010709,2019110106,01191,00427,756800
17,7,14,バーニングアイズ,牝3,54.0,富田暁,1:11.2,3.1/2,123.6,16.0,422(+2),[西] 森田直行,202210010709,2019103673,01168,01142,851009
18,3,5,ナムラデイリリー,牝3,54.0,泉谷楓真,1:11.3,1/2,31.5,10.0,470(+10),[西] 大橋勇樹,202210010709,2019102535,01182,01065,972002
1,3,3,ダンツトレノ,牡4,56.0,泉谷楓真,1:47.4,,3.6,1.0,478(-8),[西] 本田優,202210010710,2018102986,01182,01099,248005
2,1,1,インテンスフレイム,牡4,56.0,藤岡康太,1:48.0,3.1/2,3.8,3.0,518(-2),[西] 千田輝彦,202210010710,2018100679,01116,01120,003060
3,6,6,キゾク,牡4,56.0,菱田裕二,1:48.0,ハナ,13.3,6.0,492(0),[西] 池添兼雄,202210010710,2018103993,01144,01021,537006
4,2,2,ヒルノブルージュ,牡5,57.0,横山和生,1:48.4,2.1/2,6.5,5.0,502(+18),[西] 昆貢,202210010710,2017102744,01140,01044,823800
5,7,7,ベンチャーアウト,牡4,56.0,西村淳也,1:48.8,2.1/2,3.6,2.0,522(+18),[西] 庄野靖志,202210010710,2018101006,01171,01087,346803
6,4,4,メルテミア,牡4,56.0,吉田隼人,1:48.9,1/2,30.4,7.0,446(0),[西] 鈴木孝志,202210010710,2018103266,01095,01111,473008
7,8,8,カズカポレイ,牡4,56.0,斎藤新,1:49.2,1.1/2,5.8,4.0,498(-8),[西] 安田隆行,202210010710,2018101997,01178,00438,879800
8,5,5,ダイシンサニー,牡4,56.0,富田暁,1:49.2,アタマ,79.1,8.0,510(+4),[西] 吉田直弘,202210010710,2018101963,01168,01101,929002
1,3,3,メイショウテンモン,牡7,57.0,松若風馬,1:49.0,,18.5,5.0,510(+2),[西] 松永昌博,202210010711,2015106197,01154,01083,523005
2,5,5,シティレインボー,牡4,56.0,菱田裕二,1:49.0,クビ,3.8,3.0,484(0),[西] 池添兼雄,202210010711,2018106513,01144,01021,966002
3,7,7,ダノンドリーマー,牡4,56.0,西村淳也,1:49.1,クビ,3.6,2.0,492(-4),[西] 藤原英昭,202210010711,2018104669,01171,01055,619800
4,4,4,ウエストンバート,牡4,56.0,吉田隼人,1:49.3,1,5.1,4.0,536(0),[西] 吉岡辰弥,202210010711,2018106244,01095,01176,102800
5,8,10,ディープハーモニー,牡5,57.0,泉谷楓真,1:49.4,1,47.0,8.0,498(-2),[西] 本田優,202210010711,2017104151,01182,01099,128008
6,2,2,メイショウカクウン,牡7,57.0,横山和生,1:49.5,1/2,26.7,7.0,464(+10),[西] 石橋守,202210010711,2015103983,01140,01140,523005
7,8,9,コーディアル,牝4,54.0,鮫島克駿,1:49.6,アタマ,2.9,1.0,492(+2),[西] 高野友和,202210010711,2018105263,01157,01117,486800
8,6,6,ジャミールフエルテ,セ6,57.0,富田暁,1:49.8,1.1/2,21.2,6.0,462(-6),[西] 大久保龍,202210010711,2016104841,01168,01058,790005
9,1,1,ヴィント,牡6,57.0,竹之下智,1:49.9,3/4,166.1,10.0,536(-10),[西] 千田輝彦,202210010711,2016103962,01036,01120,055803
10,7,8,クリノオウジャ,牡6,57.0,斎藤新,1:49.9,ハナ,47.9,9.0,454(+16),[西] 高橋義忠,202210010711,2016102102,01178,01129,488007
1,8,18,スマートルシーダ,牡4,57.0,松若風馬,1:09.0,,12.8,5.0,466(-2),[西] 音無秀孝,202210010712,2018100097,01154,01002,007803
2,4,7,メイショウフンケイ,牡4,55.0,小沢大仁,1:09.2,1.1/4,19.9,8.0,518(-4),[西] 池添兼雄,202210010712,2018106552,01185,01021,523005
3,5,10,マイネルチューダ,牡5,57.0,丹内祐次,1:09.2,クビ,7.2,3.0,454(-4),[東] 奥平雅士,202210010712,2017104453,01091,01074,546800
4,3,6,スワーヴドン,牡5,57.0,中井裕二,1:09.3,クビ,14.2,6.0,510(+14),[西] 中内田充,202210010712,2017105626,01141,01137,887800
4,7,14,モズマンジロウ,セ4,57.0,小崎綾也,1:09.3,同着,50.5,14.0,442(-4),[西] 小崎憲,202210010712,2018104470,01152,01085,005803
6,8,16,カゼノタニノアヤカ,牝5,55.0,岩田康誠,1:09.3,アタマ,2.6,1.0,450(-4),[西] 安田隆行,202210010712,2017101153,05203,00438,345033
7,6,12,ショウナンガニアン,牡4,57.0,吉田隼人,1:09.3,ハナ,7.0,2.0,456(+2),[西] 須貝尚介,202210010712,2018104185,01095,01105,331002
8,3,5,ダノンカオス,セ5,54.0,松本大輝,1:09.4,1/2,15.9,7.0,496(+6),[西] 佐々木晶,202210010712,2017104895,01191,00429,619800
9,7,13,レッドルピナス,牝5,54.0,泉谷楓真,1:09.6,1.1/2,55.6,15.0,426(0),[西] 辻野泰之,202210010712,2017104870,01182,01183,180800
10,8,17,テンシノエア,牝4,55.0,西村淳也,1:09.6,クビ,48.5,13.0,438(-4),[西] 小林真也,202210010712,2018100891,01171,01185,740800
11,1,2,アメージングサン,セ5,57.0,原田和真,1:09.7,クビ,40.5,12.0,474(+2),[東] 奥村武,202210010712,2017102163,01143,01145,032800
12,6,11,タナキーボー,牡4,57.0,菱田裕二,1:09.9,1.1/4,10.4,4.0,492(0),[西] 清水久詞,202210010712,2018100046,01144,01110,126031
13,4,8,ラブサンキュー,牝6,52.0,原優介,1:09.9,クビ,189.5,18.0,472(+4),[東] 辻哲英,202210010712,2016101006,01184,01182,291002
14,7,15,ジャンドゥーヤ,牝4,55.0,藤岡康太,1:10.0,1/2,78.0,16.0,448(0),[西] 小林真也,202210010712,2018109101,01116,01185,148800
15,2,3,コスモサンレミ,牝4,52.0,小林凌大,1:10.2,1,21.7,9.0,466(+6),[東] 中野栄治,202210010712,2018101782,01177,01010,716800
16,2,4,セイウンダイモス,牡4,57.0,勝浦正樹,1:10.2,ハナ,29.5,11.0,494(+20),[東] 和田勇介,202210010712,2018103997,01025,01165,897009
17,1,1,ホイッスルヴォイス,牝5,53.0,藤田菜七,1:10.7,3,155.2,17.0,462(+4),[東] 大竹正博,202210010712,2017105160,01164,01102,499033
18,5,9,ハクサンハーバー,牡4,57.0,川又賢治,1:11.3,3.1/2,23.2,10.0,484(+4),[西] 飯田雄三,202210010712,2018103270,01166,01050,841030
1,7,13,メテオフリューゲル,牡3,56.0,秋山真一,1:26.4,,3.5,1.0,526(+2),[東] 鈴木伸尋,202205010401,2019100321,01019,01026,316031
2,6,11,ウォーカーテソーロ,牝3,52.0,永野猛蔵,1:27.1,4,17.6,8.0,426(-10),[東] 稲垣幸雄,202205010401,2019110052,01188,01167,089803
3,7,14,エコロドラゴン,牡3,56.0,菅原明良,1:27.3,1,4.6,2.0,552(0),[東] 岩戸孝樹,202205010401,2019106062,01179,01051,783033
4,8,15,オルロージュ,牡3,56.0,坂井瑠星,1:27.5,3/4,48.4,10.0,438(-4),[東] 田中剛,202205010401,2019103153,01163,01119,788800
5,5,9,ザアトム,牡3,56.0,戸崎圭太,1:27.6,1/2,4.7,3.0,488(0),[東] 田島俊明,202205010401,2019101266,05386,01112,037803
6,2,4,スターオブフェイス,牡3,56.0,丸山元気,1:27.6,クビ,139.8,13.0,444(+8),[東] 土田稔,202205010401,2019102934,01127,00417,791033
7,3,6,ラールブル,牡3,56.0,和田竜二,1:27.7,クビ,132.3,12.0,490(-6),[東] 池上昌和,202205010401,2019106749,01018,01150,547800
8,4,7,ミユキアイラブユー,牡3,53.0,横山琉人,1:27.8,1/2,15.2,5.0,570(+26),[東] 小島茂之,202205010401,2019105058,01192,01068,890007
9,1,1,テンコウバヒ,牡3,56.0,石橋脩,1:28.1,1.3/4,19.8,9.0,456(0),[東] 矢野英一,202205010401,2019105419,01077,01108,601033
10,8,16,ベルウッドツクバ,牡3,56.0,Ｍ．デム,1:28.5,2.1/2,5.5,4.0,466(0),[東] 伊藤大士,202205010401,2019100944,05212,01109,137030
11,3,5,ミザール,牡3,56.0,北村宏司,1:28.8,2,256.4,14.0,476(-4),[東] 伊藤大士,202205010401,2019101308,01043,01109,078006
12,6,12,カンタベリーホープ,牡3,56.0,的場勇人,1:29.0,3/4,465.3,15.0,452(-8),[東] 的場均,202205010401,2019105692,01108,01063,684006
13,2,3,ディオアステリア,牝3,54.0,石川裕紀,1:29.0,アタマ,15.5,6.0,466(+8),[東] 小野次郎,202205010401,2019104356,01150,01125,188800
14,4,8,ライヴアクアマリン,牡3,53.0,小林脩斗,1:29.2,1,628.5,16.0,508(-8),[東] 池上昌和,202205010401,2019106566,01183,01150,214033
15,1,2,ブラックテイルズ,牝3,54.0,江田照男,1:30.5,8,66.1,11.0,448(0),[東] 辻哲英,202205010401,2019102782,00689,01182,040700
16,5,10,ロードシャマール,牡3,56.0,津村明秀,1:31.6,7,15.5,7.0,492(+12),[東] 新開幸一,202205010401,2019101525,01092,01116,170800
1,3,4,サバンナモンキー,牡3,56.0,石川裕紀,2:15.5,,3.8,3.0,474(+8),[東] 相沢郁,202205010402,2019106622,01150,01020,812008
2,7,12,ネッスンドルマ,牡3,56.0,坂井瑠星,2:15.7,1.1/2,14.7,5.0,446(0),[東] 加藤士津,202205010402,2019100584,01163,01169,870033
3,4,5,ガンガディン,牡3,56.0,菅原明良,2:16.1,2.1/2,34.1,7.0,474(-2),[東] 田島俊明,202205010402,2019103343,01179,01112,713005
4,2,2,ブレットフライ,牡3,56.0,内田博幸,2:16.1,アタマ,2.9,1.0,502(+6),[東] 萱野浩二,202205010402,2019104005,00422,01024,344803
5,7,11,センジュ,牡3,56.0,武士沢友,2:16.3,3/4,3.6,2.0,460(-2),[東] 南田美知,202205010402,2019109068,01029,00437,066031
6,3,3,トーセンコップ,牡3,56.0,丸田恭介,2:16.3,アタマ,17.4,6.0,478(0),[東] 古賀史生,202205010402,2019104383,01117,00392,270006
7,6,9,ヤマニンクラビーア,牡3,56.0,伊藤工真,2:16.6,1.3/4,36.1,8.0,486(-2),[東] 蛯名利弘,202205010402,2019100599,01119,01131,329004
8,6,10,ソアリング,牡3,56.0,丸山元気,2:16.9,1.3/4,96.0,11.0,500(0),[東] 和田雄二,202205010402,2019104023,01127,01143,290006
9,5,8,サバンナキャット,牡3,56.0,三浦皇成,2:17.1,1.1/2,7.9,4.0,540(+4),[東] 武井亮,202205010402,2019102040,01122,01147,812008
10,5,7,ヴィオレントアズル,牡3,56.0,柴田大知,2:17.5,2,124.1,12.0,422(+4),[東] 加藤和宏,202205010402,2019102445,01009,01077,851009
11,1,1,ウイングラドナス,牡3,56.0,野中悠太,2:18.3,5,45.0,10.0,462(+6),[東] 青木孝文,202205010402,2019105598,01158,01156,494800
12,8,14,トップランク,牡3,54.0,永野猛蔵,2:18.8,3,141.0,13.0,468(+10),[東] 尾形和幸,202205010402,2019106300,01188,01141,535033
13,8,13,モーリスマイナー,牡3,56.0,杉原誠人,2:19.3,3,154.6,14.0,532(+8),[東] 宮田敬介,202205010402,2019106811,01135,01175,046803
14,4,6,マゼンダフラッシュ,牝3,51.0,小林脩斗,2:20.1,5,43.0,9.0,436(-10),[東] 奥平雅士,202205010402,2019102204,01183,01074,134031
1,4,8,ストレートリターン,牡3,56.0,横山武史,1:41.2,,2.9,1.0,498(0),[東] 水野貴広,202205010403,2019104641,01170,01094,415800
2,8,15,エスシーカリファ,牝3,54.0,丸田恭介,1:41.5,2,34.6,7.0,442(0),[東] 宗像義忠,202205010403,2019102677,01117,00420,703030
3,4,7,ネヴァイナフ,牡3,56.0,和田竜二,1:41.6,1/2,3.8,2.0,474(0),[西] 小崎憲,202205010403,2019103187,01018,01085,354803
4,2,4,サンマルディライト,牡3,56.0,大野拓弥,1:41.6,クビ,6.9,4.0,458(0),[東] 和田勇介,202205010403,2019106088,01096,01165,580007
5,6,12,カルヴァドス,牝3,54.0,北村宏司,1:41.9,1.3/4,80.8,12.0,472(0),[東] 加藤和宏,202205010403,2019109019,01043,01077,854800
6,5,10,ノーブルオーキッド,牝3,54.0,宮崎北斗,1:42.1,1.1/4,5.3,3.0,466(0),[東] 中川公成,202205010403,2019100077,01118,01081,065803
7,5,9,ロジマスタング,牝3,54.0,内田博幸,1:42.1,ハナ,11.9,6.0,452(0),[東] 大竹正博,202205010403,2019100056,00422,01102,399030
8,7,13,キツネビ,牝3,54.0,柴田未崎,1:42.5,2.1/2,99.9,13.0,492(0),[西] 畑端省吾,202205010403,2019106135,01010,01188,952033
9,6,11,マルクドヌーヴ,牝3,54.0,菊沢一樹,1:42.9,2.1/2,11.4,5.0,470(0),[東] 清水英克,202205010403,2019105618,01161,01080,310800
10,1,2,トゥジアース,牡3,53.0,横山琉人,1:43.1,1,46.7,9.0,488(0),[東] 小笠倫弘,202205010403,2019109087,01192,01076,051800
11,8,16,ヤマビジン,牝3,54.0,江田照男,1:43.1,クビ,37.3,8.0,444(0),[東] 中野栄治,202205010403,2019106308,00689,01010,772002
12,7,14,セイカノータ,牝3,54.0,岩部純二,1:43.3,1.1/4,394.2,16.0,446(0),[東] 南田美知,202205010403,2019100279,00726,00437,578005
13,2,3,タイコネン,牝3,54.0,丸山元気,1:43.5,1,50.8,11.0,474(0),[東] 水野貴広,202205010403,2019101484,01127,01094,078700
14,3,6,ジュウセンシャ,牡3,54.0,山田敬士,1:44.5,6,218.6,15.0,526(0),[東] 小桧山悟,202205010403,2019101239,01173,01005,615030
15,1,1,ワイタ,牡3,56.0,菅原明良,1:44.6,1/2,50.7,10.0,482(0),[東] 竹内正洋,202205010403,2019101553,01179,01152,713005
16,3,5,テイエムボーラー,牡3,56.0,杉原誠人,1:44.9,2,143.6,14.0,502(0),[東] 加藤和宏,202205010403,2019102091,01135,01077,356002
1,3,6,ラレイナ,牝4,55.0,野中悠太,1:38.6,,10.8,5.0,460(+14),[東] 木村哲也,202205010404,2018105316,01158,01126,506800
2,5,9,キングスフィリア,牝4,55.0,ルメール,1:38.7,3/4,1.6,1.0,436(+12),[東] 萩原清,202205010404,2018105556,05339,01017,415800
3,6,11,エレボアブランシュ,牝4,55.0,和田竜二,1:39.0,2,27.1,8.0,434(+6),[東] 加藤士津,202205010404,2018105322,01018,01169,226800
4,7,14,ズールー,牝5,55.0,三浦皇成,1:39.2,1.1/4,8.6,2.0,476(0),[東] 高木登,202205010404,2017104624,01122,01088,799033
5,8,16,ダイナストーン,牝4,55.0,戸崎圭太,1:39.2,ハナ,10.4,4.0,544(-6),[東] 藤沢和雄,202205010404,2018103608,05386,00386,972033
6,8,15,ラブロッソー,牝5,55.0,坂井瑠星,1:39.3,1/2,22.4,7.0,482(+4),[東] 鈴木慎太,202205010404,2017101761,01163,01179,291002
7,2,3,オウケンロジータ,牝5,55.0,田中勝春,1:39.4,1/2,74.4,11.0,520(+24),[東] 松永康利,202205010404,2017106232,00684,01093,731006
8,5,10,ハローキャンディ,牝5,52.0,小林脩斗,1:39.4,ハナ,9.3,3.0,450(+2),[東] 久保田貴,202205010404,2017105819,01183,01067,001031
9,2,4,グラスピレ,牝4,53.0,永野猛蔵,1:39.4,クビ,71.4,10.0,464(+5),[東] 伊藤圭三,202205010404,2018103495,01188,01023,854800
10,4,7,エープラス,牝4,52.0,横山琉人,1:39.4,アタマ,74.7,12.0,482(0),[東] 池上昌和,202205010404,2018106314,01192,01150,979007
11,1,1,クオンタム,牝4,55.0,杉原誠人,1:39.9,3,59.7,9.0,454(+16),[東] 村田一誠,202205010404,2018103206,01135,01190,629800
12,3,5,テンナイトパール,牝6,55.0,丸山元気,1:40.4,3,105.6,13.0,492(+4),[東] 小西一男,202205010404,2016105014,01127,00405,075006
13,1,2,サイモンポーリア,牝4,55.0,大野拓弥,1:40.4,ハナ,218.6,15.0,474(+2),[東] 根本康広,202205010404,2018101166,01096,01029,132030
14,6,12,ヤマタケクララ,牝5,55.0,内田博幸,1:40.5,クビ,164.8,14.0,484(0),[東] 矢野英一,202205010404,2017102645,00422,01108,360030
15,4,8,ステディシュシュ,牝4,55.0,柴田大知,1:41.2,4,14.7,6.0,502(+8),[東] 田中剛,202205010404,2018105230,01009,01119,192031
16,7,13,イッツアワターン,牝5,55.0,江田照男,1:42.6,9,523.8,16.0,442(-4),[東] 相沢郁,202205010404,2017103844,00689,01020,172033
1,2,4,ライラスター,牡3,56.0,ルメール,1:35.1,,1.3,1.0,482(+6),[東] 木村哲也,202205010405,2019105336,05339,01126,486800
2,6,11,カヨウネンカ,牝3,54.0,Ｍ．デム,1:35.1,アタマ,14.2,4.0,440(-4),[東] 斎藤誠,202205010405,2019104159,05212,01086,629800
3,3,6,ソレントフレイバー,牡3,56.0,田辺裕信,1:35.4,1.3/4,10.1,2.0,486(0),[東] 久保田貴,202205010405,2019106503,01075,01067,236033
4,2,3,イワクニ,牡3,56.0,菅原明良,1:35.5,1/2,188.4,13.0,470(-6),[東] 宗像義忠,202205010405,2019100113,01179,00420,728033
5,8,16,アルテラ,牡3,56.0,武士沢友,1:35.5,クビ,111.5,10.0,412(-2),[東] 深山雅史,202205010405,2019104035,01029,01174,473008
6,3,5,カイト,牡3,54.0,永野猛蔵,1:35.6,クビ,24.6,7.0,498(-6),[東] 奥村武,202205010405,2019105640,01188,01145,248030
7,1,2,ナンベイコー,牝3,51.0,小林脩斗,1:35.6,クビ,220.0,15.0,424(+10),[東] 尾形和幸,202205010405,2019104331,01183,01141,788033
8,8,15,ノアチェリー,牝3,51.0,横山琉人,1:35.7,1/2,22.6,6.0,466(+2),[東] 大江原哲,202205010405,2019100522,01192,01012,861002
9,7,14,チューウィー,牝3,54.0,柴田大知,1:35.7,ハナ,75.0,9.0,436(+2),[東] 古賀慎明,202205010405,2019103540,01009,01079,716800
10,6,12,ネイキッドハート,牝3,54.0,石川裕紀,1:35.8,1/2,212.5,14.0,436(0),[東] 辻哲英,202205010405,2019103200,01150,01182,022700
11,7,13,ヨール,牝3,54.0,嶋田純次,1:35.9,3/4,250.2,16.0,432(-8),[東] 手塚貴久,202205010405,2019101270,01134,01038,491030
12,5,9,ココリヴァルキリー,牝3,54.0,北村宏司,1:35.9,アタマ,25.6,8.0,426(-2),[東] 古賀慎明,202205010405,2019101252,01043,01079,675033
13,1,1,ダイゴシンリュウ,牡3,56.0,大野拓弥,1:35.9,ハナ,116.3,11.0,428(-8),[東] 堀井雅広,202205010405,2019102754,01096,00436,895002
14,4,7,スピードソルジャー,牡3,56.0,戸崎圭太,1:36.0,3/4,18.1,5.0,502(+10),[東] 小笠倫弘,202205010405,2019104959,05386,01076,398030
15,5,10,サトノプリエール,牝3,54.0,丸田恭介,1:36.2,1.1/4,12.3,3.0,442(-8),[東] 宗像義忠,202205010405,2019110127,01117,00420,075803
16,4,8,ルナブリエ,牝3,54.0,津村明秀,1:36.6,2.1/2,147.7,12.0,448(+8),[東] 高橋祥泰,202205010405,2019100142,01092,00359,204033
1,1,1,ロールアップ,牝3,54.0,ルメール,1:37.0,,2.0,1.0,450(0),[西] 中内田充,202205010406,2019103661,05339,01137,248030
2,3,6,コズミックエッグ,牡3,56.0,内田博幸,1:37.2,1,5.6,2.0,470(0),[東] 斎藤誠,202205010406,2019101282,00422,01086,338007
